Tipo,Rubro,Subregion,Año,Municipio,Área Total,Área Producción,Volumen Producción
Transitorios,Ajo,Valle de Aburra,1999,Medellín,2.20,2.20,13.20
Permanentes,Caña,Valle de Aburra,1999,Medellín,65.00,65.00,338.00
Transitorios,Cebolla Cabezona,Valle de Aburra,1999,Medellín,20.00,18.20,254.80
Permanentes,Cebolla Junca,Valle de Aburra,1999,Medellín,51.30,51.30,846.50
Transitorios,Cilantro,Valle de Aburra,1999,Medellín,40.20,36.20,235.40
Permanentes,Col,Valle de Aburra,1999,Medellín,13.90,12.60,63.00
Transitorios,Espinaca,Valle de Aburra,1999,Medellín,19.00,17.20,309.60
Transitorios,Fríjol Arbustivo,Valle de Aburra,1999,Medellín,64.40,58.60,105.40
Transitorios,Habichuela,Valle de Aburra,1999,Medellín,42.80,39.00,273.00
Transitorios,Lechuga,Valle de Aburra,1999,Medellín,11.60,7.60,152.00
Permanentes,Mora,Valle de Aburra,1999,Medellín,71.40,71.40,499.80
Transitorios,Papa,Valle de Aburra,1999,Medellín,149.00,135.40,2437.20
Transitorios,Pepino,Valle de Aburra,1999,Medellín,10.20,9.20,138.00
Transitorios,Pimentón,Valle de Aburra,1999,Medellín,25.20,22.80,456.00
Permanentes,Plátano En Asocio,Valle de Aburra,1999,Medellín,153.00,153.00,1377.00
Transitorios,Remolacha,Valle de Aburra,1999,Medellín,15.00,13.60,204.00
Transitorios,Repollo,Valle de Aburra,1999,Medellín,3.90,3.60,144.00
Transitorios,Tomate Chonto,Valle de Aburra,1999,Medellín,40.20,36.40,655.20
Permanentes,Tomate De Árbol,Valle de Aburra,1999,Medellín,4.90,4.90,83.30
Transitorios,Zanahoria,Valle de Aburra,1999,Medellín,2.40,2.20,26.40
Transitorios,Ajo,Valle de Aburra,2000,Medellín,2.40,2.00,12.00
Transitorios,Apio,Valle de Aburra,2000,Medellín,28.00,25.20,504.00
Permanentes,Café,Valle de Aburra,2000,Medellín,1082.00,496.00,396.80
Permanentes,Caña,Valle de Aburra,2000,Medellín,65.00,58.50,304.20
Transitorios,Cebolla Cabezona,Valle de Aburra,2000,Medellín,22.00,19.80,277.20
